c40x0H2nNwR9JyV0z2iuow	51	0.014,0.000,0.075,0.013,0.016,0.074,0.018,0.011,0.000,0.014,0.011,0.016,0.620,0.012,0.017,0.014,0.021,0.014,0.016,0.000
ub_Pjud7xSOU6aLnYiRljA	70	0.000,0.000,0.000,0.000,0.000,0.831,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.012,0.000,0.000,0.000,0.036
Yb6PQ_4YQpJ0SVZ1tetkbg	56	0.019,0.053,0.000,0.044,0.000,0.000,0.000,0.254,0.012,0.010,0.011,0.124,0.011,0.010,0.378,0.000,0.000,0.000,0.000,0.000
5fUY5sq00VMPdb1SDJWBug	107	0.000,0.883,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.017,0.000,0.000,0.000,0.000
zDUBRFk213vpUbLO1oPqHQ	72	0.012,0.426,0.011,0.011,0.000,0.000,0.023,0.032,0.000,0.000,0.000,0.000,0.230,0.013,0.140,0.000,0.000,0.013,0.011,0.000
gwFJxN5QczVzIuyEuRt26w	72	0.000,0.000,0.000,0.000,0.000,0.812,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.047,0.014,0.000,0.000,0.000
lnX6GZUdP37JXUX6QRCPDA	124	0.193,0.000,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.116,0.000,0.026,0.000,0.036,0.000,0.266,0.198,0.000,0.000,0.000
4CheGhBNFK8KBbsVEhYJKA	110	0.000,0.000,0.011,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.012,0.053,0.000,0.793,0.000,0.024,0.000,0.013
-oH3NL7-VzyD_k0qelkzPA	88	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.012,0.000,0.018,0.000,0.016,0.000,0.636,0.020,0.127,0.000,0.077
XNAUTx0Na-yGBTnxKE7qJA	156	0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.254,0.000,0.471,0.000,0.013,0.000,0.000,0.035,0.124,0.016,0.000
70c-BeXWi6mO9IN3_vnpdg	218	0.000,0.000,0.000,0.000,0.000,0.918,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SC8Rpw0LXhhgJ_i_r2tZhw	168	0.000,0.000,0.000,0.000,0.010,0.000,0.371,0.000,0.000,0.252,0.000,0.166,0.070,0.000,0.000,0.000,0.000,0.064,0.000,0.000
GURmB4kTMLpG8AGjx52ILw	143	0.012,0.722,0.000,0.018,0.000,0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.033,0.011,0.089,0.000,0.000,0.000,0.000,0.000
dpCSDy9uefOEcY44FHss2Q	240	0.000,0.000,0.000,0.344,0.000,0.000,0.000,0.454,0.000,0.000,0.000,0.000,0.000,0.000,0.152,0.000,0.000,0.000,0.000,0.000
MM5P9cKlzovYLcf5qf2SwQ	232	0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.026,0.000,0.000,0.707,0.158,0.000,0.000,0.017,0.000,0.000,0.000,0.000,0.000
5vI8YfEVTiX8zwMc_liJMg	118	0.024,0.000,0.011,0.000,0.000,0.000,0.688,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.010,0.047,0.000,0.033,0.066
_ArDQIKj5qHgmwNnnIaIIg	130	0.000,0.892,0.000,0.024,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ZV-sZmRF-4Zye_lJlVCtVg	525	0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.713,0.000,0.124,0.000,0.000,0.000,0.000
6rAssbMxibKz2_wbK1PfGQ	211	0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.892,0.000,0.000,0.000,0.000
3_r3cHgCvW4fwD3T-uVW1A	55	0.016,0.000,0.020,0.018,0.014,0.026,0.000,0.018,0.000,0.026,0.000,0.014,0.011,0.576,0.000,0.067,0.113,0.018,0.013,0.011
